2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
1: acc=93.69% acc_corr=97.62% avg#q_ae=2.18 med#q=2.0, avg_margin=8.49, buff=19194, (n_ex=9597, eps=1.000, 7.59s)
2: acc=93.53% acc_corr=97.46% avg#q_ae=2.30 med#q=3.0, avg_margin=8.41, buff=19194, (n_ex=9597, eps=1.000, 15.19s)
3: acc=93.14% acc_corr=97.05% avg#q_ae=2.67 med#q=4.0, avg_margin=8.30, buff=19194, (n_ex=9597, eps=1.000, 22.76s)
4: acc=92.57% acc_corr=96.46% avg#q_ae=3.23 med#q=5.0, avg_margin=8.16, buff=19194, (n_ex=9597, eps=1.000, 30.36s)
5: acc=91.76% acc_corr=95.61% avg#q_ae=3.96 med#q=6.0, avg_margin=8.00, buff=19194, (n_ex=9597, eps=1.000, 38.09s)
6: acc=91.25% acc_corr=95.08% avg#q_ae=4.39 med#q=7.0, avg_margin=7.88, buff=19194, (n_ex=9597, eps=1.000, 45.58s)
7: acc=91.02% acc_corr=94.84% avg#q_ae=4.61 med#q=8.0, avg_margin=7.83, buff=19194, (n_ex=9597, eps=1.000, 52.91s)
8: acc=90.54% acc_corr=94.34% avg#q_ae=5.08 med#q=9.0, avg_margin=7.73, buff=19194, (n_ex=9597, eps=1.000, 60.26s)
9: acc=90.26% acc_corr=94.05% avg#q_ae=5.37 med#q=10.0, avg_margin=7.66, buff=19194, (n_ex=9597, eps=1.000, 67.56s)
10: acc=89.85% acc_corr=93.62% avg#q_ae=5.82 med#q=11.0, avg_margin=7.58, buff=19194, (n_ex=9597, eps=1.000, 74.78s)
11: acc=89.61% acc_corr=93.37% avg#q_ae=6.09 med#q=12.0, avg_margin=7.52, buff=19194, (n_ex=9597, eps=1.000, 82.01s)
12: acc=89.04% acc_corr=92.78% avg#q_ae=6.74 med#q=13.0, avg_margin=7.41, buff=19194, (n_ex=9597, eps=1.000, 89.32s)
13: acc=88.72% acc_corr=92.45% avg#q_ae=7.10 med#q=14.0, avg_margin=7.35, buff=19194, (n_ex=9597, eps=1.000, 96.43s)
14: acc=88.52% acc_corr=92.24% avg#q_ae=7.34 med#q=15.0, avg_margin=7.30, buff=19194, (n_ex=9597, eps=1.000, 103.47s)
15: acc=88.34% acc_corr=92.05% avg#q_ae=7.57 med#q=16.0, avg_margin=7.25, buff=19194, (n_ex=9597, eps=1.000, 110.43s)
16: acc=87.93% acc_corr=91.62% avg#q_ae=8.10 med#q=17.0, avg_margin=7.19, buff=19194, (n_ex=9597, eps=1.000, 117.47s)
17: acc=87.62% acc_corr=91.30% avg#q_ae=8.51 med#q=18.0, avg_margin=7.12, buff=19194, (n_ex=9597, eps=1.000, 124.55s)
18: acc=87.50% acc_corr=91.17% avg#q_ae=8.67 med#q=19.0, avg_margin=7.10, buff=19194, (n_ex=9597, eps=1.000, 131.58s)
19: acc=86.99% acc_corr=90.64% avg#q_ae=9.37 med#q=20.0, avg_margin=7.03, buff=19194, (n_ex=9597, eps=1.000, 138.70s)
20: acc=86.67% acc_corr=90.31% avg#q_ae=9.81 med#q=21.0, avg_margin=6.97, buff=19194, (n_ex=9597, eps=1.000, 145.59s)
21: acc=86.43% acc_corr=90.06% avg#q_ae=10.14 med#q=22.0, avg_margin=6.92, buff=19194, (n_ex=9597, eps=1.000, 152.49s)
22: acc=85.84% acc_corr=89.44% avg#q_ae=10.94 med#q=23.0, avg_margin=6.83, buff=19194, (n_ex=9597, eps=1.000, 159.37s)
23: acc=85.02% acc_corr=88.59% avg#q_ae=12.00 med#q=24.0, avg_margin=6.73, buff=19194, (n_ex=9597, eps=1.000, 166.23s)
24: acc=84.66% acc_corr=88.22% avg#q_ae=12.44 med#q=25.0, avg_margin=6.68, buff=19194, (n_ex=9597, eps=1.000, 173.01s)
25: acc=83.99% acc_corr=87.52% avg#q_ae=13.26 med#q=26.0, avg_margin=6.60, buff=19194, (n_ex=9597, eps=1.000, 180.02s)
26: acc=83.85% acc_corr=87.37% avg#q_ae=13.43 med#q=27.0, avg_margin=6.57, buff=19194, (n_ex=9597, eps=1.000, 186.71s)
27: acc=83.72% acc_corr=87.24% avg#q_ae=13.59 med#q=28.0, avg_margin=6.54, buff=19194, (n_ex=9597, eps=1.000, 193.52s)
28: acc=83.08% acc_corr=86.57% avg#q_ae=14.41 med#q=29.0, avg_margin=6.46, buff=19194, (n_ex=9597, eps=1.000, 200.36s)
29: acc=82.84% acc_corr=86.32% avg#q_ae=14.71 med#q=30.0, avg_margin=6.42, buff=19194, (n_ex=9597, eps=1.000, 206.89s)
30: acc=82.42% acc_corr=85.88% avg#q_ae=15.25 med#q=31.0, avg_margin=6.37, buff=19194, (n_ex=9597, eps=1.000, 213.46s)
31: acc=82.04% acc_corr=85.49% avg#q_ae=15.73 med#q=32.0, avg_margin=6.32, buff=19194, (n_ex=9597, eps=1.000, 220.10s)
32: acc=81.84% acc_corr=85.28% avg#q_ae=15.99 med#q=33.0, avg_margin=6.28, buff=19194, (n_ex=9597, eps=1.000, 226.65s)
33: acc=81.65% acc_corr=85.08% avg#q_ae=16.24 med#q=34.0, avg_margin=6.26, buff=19194, (n_ex=9597, eps=1.000, 233.33s)
34: acc=81.37% acc_corr=84.79% avg#q_ae=16.62 med#q=35.0, avg_margin=6.22, buff=19194, (n_ex=9597, eps=1.000, 239.88s)
35: acc=80.96% acc_corr=84.36% avg#q_ae=17.18 med#q=36.0, avg_margin=6.17, buff=19194, (n_ex=9597, eps=1.000, 246.45s)
36: acc=80.75% acc_corr=84.14% avg#q_ae=17.46 med#q=37.0, avg_margin=6.14, buff=19194, (n_ex=9597, eps=1.000, 252.87s)
37: acc=80.42% acc_corr=83.80% avg#q_ae=17.92 med#q=38.0, avg_margin=6.09, buff=19194, (n_ex=9597, eps=1.000, 259.40s)
38: acc=80.09% acc_corr=83.45% avg#q_ae=18.38 med#q=39.0, avg_margin=6.05, buff=19194, (n_ex=9597, eps=1.000, 265.89s)
39: acc=79.82% acc_corr=83.17% avg#q_ae=18.76 med#q=40.0, avg_margin=6.02, buff=19194, (n_ex=9597, eps=1.000, 272.35s)
40: acc=79.72% acc_corr=83.07% avg#q_ae=18.90 med#q=41.0, avg_margin=6.00, buff=19194, (n_ex=9597, eps=1.000, 278.76s)
41: acc=79.32% acc_corr=82.65% avg#q_ae=19.48 med#q=42.0, avg_margin=5.94, buff=19194, (n_ex=9597, eps=1.000, 285.36s)
42: acc=79.11% acc_corr=82.43% avg#q_ae=19.79 med#q=43.0, avg_margin=5.91, buff=19194, (n_ex=9597, eps=1.000, 291.70s)
43: acc=78.52% acc_corr=81.82% avg#q_ae=20.64 med#q=44.0, avg_margin=5.84, buff=19194, (n_ex=9597, eps=1.000, 298.06s)
44: acc=78.19% acc_corr=81.47% avg#q_ae=21.11 med#q=45.0, avg_margin=5.81, buff=19194, (n_ex=9597, eps=1.000, 304.45s)
45: acc=77.88% acc_corr=81.15% avg#q_ae=21.55 med#q=46.0, avg_margin=5.77, buff=19194, (n_ex=9597, eps=1.000, 310.79s)
46: acc=77.50% acc_corr=80.75% avg#q_ae=22.10 med#q=47.0, avg_margin=5.72, buff=19194, (n_ex=9597, eps=1.000, 317.01s)
47: acc=77.21% acc_corr=80.45% avg#q_ae=22.51 med#q=48.0, avg_margin=5.68, buff=19194, (n_ex=9597, eps=1.000, 323.28s)
48: acc=76.86% acc_corr=80.09% avg#q_ae=23.02 med#q=49.0, avg_margin=5.65, buff=19194, (n_ex=9597, eps=1.000, 329.51s)
