

All hps: 2021-03-10 15:41:14 model=wrn-28-10-drop dataset=cifar10 attack=square_l2 n_ex=10000 eps=1020.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
Initial square side=6 for bumps
2021-03-10_15-41-33_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1__Eps1020
1: acc=65.36% acc_corr=68.10% avg#q_ae=2.12 med#q=2.0, avg_margin=3.21, buff=19194, (n_ex=9597, eps=1020.000, 4.87s)
2: acc=63.08% acc_corr=65.73% avg#q_ae=2.25 med#q=3.0, avg_margin=2.95, buff=19194, (n_ex=9597, eps=1020.000, 9.46s)
3: acc=61.38% acc_corr=63.96% avg#q_ae=2.39 med#q=4.0, avg_margin=2.76, buff=19194, (n_ex=9597, eps=1020.000, 13.89s)
4: acc=59.47% acc_corr=61.97% avg#q_ae=2.58 med#q=5.0, avg_margin=2.53, buff=19194, (n_ex=9597, eps=1020.000, 18.22s)
5: acc=57.05% acc_corr=59.45% avg#q_ae=2.85 med#q=6.0, avg_margin=2.25, buff=19194, (n_ex=9597, eps=1020.000, 22.45s)
6: acc=54.69% acc_corr=56.99% avg#q_ae=3.15 med#q=7.0, avg_margin=2.01, buff=19194, (n_ex=9597, eps=1020.000, 26.81s)
7: acc=49.93% acc_corr=52.03% avg#q_ae=3.75 med#q=8.0, avg_margin=1.52, buff=19194, (n_ex=9597, eps=1020.000, 33.64s)
8: acc=48.63% acc_corr=50.67% avg#q_ae=3.92 med#q=9.0, avg_margin=1.38, buff=19194, (n_ex=9597, eps=1020.000, 39.03s)
9: acc=47.07% acc_corr=49.05% avg#q_ae=4.15 med#q=10.0, avg_margin=1.24, buff=19194, (n_ex=9597, eps=1020.000, 45.03s)
10: acc=45.13% acc_corr=47.03% avg#q_ae=4.45 med#q=10.0, avg_margin=1.09, buff=19194, (n_ex=9597, eps=1020.000, 50.59s)
11: acc=43.29% acc_corr=45.11% avg#q_ae=4.75 med#q=10.0, avg_margin=0.92, buff=19194, (n_ex=9597, eps=1020.000, 56.20s)
