All hps: 2021-01-16 21:37:39 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=16 p=0.06 n_iter=10000
finish load victim model
Clean accuracy: 95.97%
1: acc=63.69% acc_corr=66.36% avg#q_ae=1.07 med#q=1.0, avg_margin=2.64 (n_ex=9597, eps=0.063, 4.73s)
2: acc=61.47% acc_corr=64.05% avg#q_ae=1.19 med#q=1.0, avg_margin=2.36 (n_ex=9597, eps=0.063, 9.49s)
3: acc=59.36% acc_corr=61.85% avg#q_ae=1.35 med#q=1.0, avg_margin=2.10 (n_ex=9597, eps=0.063, 13.93s)
4: acc=57.26% acc_corr=59.66% avg#q_ae=1.55 med#q=1.0, avg_margin=1.86 (n_ex=9597, eps=0.063, 18.21s)
5: acc=55.23% acc_corr=57.55% avg#q_ae=1.77 med#q=1.0, avg_margin=1.64 (n_ex=9597, eps=0.063, 22.34s)
6: acc=53.53% acc_corr=55.78% avg#q_ae=1.98 med#q=1.0, avg_margin=1.46 (n_ex=9597, eps=0.063, 26.33s)
7: acc=51.92% acc_corr=54.10% avg#q_ae=2.20 med#q=1.0, avg_margin=1.29 (n_ex=9597, eps=0.063, 30.21s)
8: acc=50.45% acc_corr=52.57% avg#q_ae=2.42 med#q=1.0, avg_margin=1.13 (n_ex=9597, eps=0.063, 33.98s)
9: acc=48.85% acc_corr=50.90% avg#q_ae=2.68 med#q=1.0, avg_margin=0.98 (n_ex=9597, eps=0.063, 37.65s)
10: acc=47.40% acc_corr=49.39% avg#q_ae=2.93 med#q=1.0, avg_margin=0.85 (n_ex=9597, eps=0.063, 41.21s)
11: acc=46.02% acc_corr=47.95% avg#q_ae=3.18 med#q=1.0, avg_margin=0.73 (n_ex=9597, eps=0.063, 44.66s)
12: acc=44.65% acc_corr=46.52% avg#q_ae=3.44 med#q=1.0, avg_margin=0.61 (n_ex=9597, eps=0.063, 48.08s)
13: acc=43.66% acc_corr=45.49% avg#q_ae=3.64 med#q=1.0, avg_margin=0.51 (n_ex=9597, eps=0.063, 51.32s)
14: acc=42.48% acc_corr=44.26% avg#q_ae=3.89 med#q=1.0, avg_margin=0.42 (n_ex=9597, eps=0.063, 54.51s)
15: acc=41.60% acc_corr=43.35% avg#q_ae=4.09 med#q=1.0, avg_margin=0.34 (n_ex=9597, eps=0.063, 57.62s)
16: acc=40.83% acc_corr=42.54% avg#q_ae=4.27 med#q=1.0, avg_margin=0.26 (n_ex=9597, eps=0.063, 60.65s)
17: acc=39.67% acc_corr=41.34% avg#q_ae=4.55 med#q=1.0, avg_margin=0.18 (n_ex=9597, eps=0.063, 63.63s)
18: acc=38.72% acc_corr=40.35% avg#q_ae=4.79 med#q=1.0, avg_margin=0.10 (n_ex=9597, eps=0.063, 66.54s)
19: acc=37.76% acc_corr=39.35% avg#q_ae=5.04 med#q=1.0, avg_margin=0.03 (n_ex=9597, eps=0.063, 69.38s)
20: acc=36.85% acc_corr=38.40% avg#q_ae=5.29 med#q=1.0, avg_margin=-0.04 (n_ex=9597, eps=0.063, 72.14s)
21: acc=35.91% acc_corr=37.42% avg#q_ae=5.55 med#q=1.0, avg_margin=-0.10 (n_ex=9597, eps=0.063, 74.84s)
22: acc=35.08% acc_corr=36.55% avg#q_ae=5.79 med#q=2.0, avg_margin=-0.16 (n_ex=9597, eps=0.063, 77.48s)
23: acc=34.44% acc_corr=35.89% avg#q_ae=5.98 med#q=2.0, avg_margin=-0.21 (n_ex=9597, eps=0.063, 80.07s)
24: acc=33.75% acc_corr=35.17% avg#q_ae=6.19 med#q=2.0, avg_margin=-0.27 (n_ex=9597, eps=0.063, 82.61s)
25: acc=33.10% acc_corr=34.49% avg#q_ae=6.39 med#q=2.0, avg_margin=-0.31 (n_ex=9597, eps=0.063, 85.10s)
26: acc=32.39% acc_corr=33.75% avg#q_ae=6.62 med#q=2.0, avg_margin=-0.37 (n_ex=9597, eps=0.063, 87.55s)
27: acc=31.77% acc_corr=33.10% avg#q_ae=6.83 med#q=2.0, avg_margin=-0.42 (n_ex=9597, eps=0.063, 89.95s)
28: acc=31.28% acc_corr=32.59% avg#q_ae=7.00 med#q=3.0, avg_margin=-0.46 (n_ex=9597, eps=0.063, 92.30s)
29: acc=30.64% acc_corr=31.93% avg#q_ae=7.22 med#q=3.0, avg_margin=-0.51 (n_ex=9597, eps=0.063, 94.64s)
30: acc=30.15% acc_corr=31.42% avg#q_ae=7.40 med#q=3.0, avg_margin=-0.55 (n_ex=9597, eps=0.063, 97.00s)
31: acc=29.52% acc_corr=30.76% avg#q_ae=7.63 med#q=3.0, avg_margin=-0.59 (n_ex=9597, eps=0.063, 99.25s)
32: acc=29.05% acc_corr=30.27% avg#q_ae=7.81 med#q=3.0, avg_margin=-0.63 (n_ex=9597, eps=0.063, 101.45s)
33: acc=28.44% acc_corr=29.63% avg#q_ae=8.05 med#q=3.0, avg_margin=-0.67 (n_ex=9597, eps=0.063, 103.62s)
34: acc=27.96% acc_corr=29.13% avg#q_ae=8.24 med#q=3.0, avg_margin=-0.70 (n_ex=9597, eps=0.063, 105.75s)
35: acc=27.47% acc_corr=28.62% avg#q_ae=8.43 med#q=3.0, avg_margin=-0.74 (n_ex=9597, eps=0.063, 107.84s)
36: acc=26.90% acc_corr=28.03% avg#q_ae=8.67 med#q=4.0, avg_margin=-0.77 (n_ex=9597, eps=0.063, 109.90s)
37: acc=26.48% acc_corr=27.59% avg#q_ae=8.85 med#q=4.0, avg_margin=-0.80 (n_ex=9597, eps=0.063, 111.92s)
38: acc=25.94% acc_corr=27.03% avg#q_ae=9.08 med#q=4.0, avg_margin=-0.84 (n_ex=9597, eps=0.063, 113.90s)
39: acc=25.46% acc_corr=26.53% avg#q_ae=9.29 med#q=4.0, avg_margin=-0.87 (n_ex=9597, eps=0.063, 115.84s)
40: acc=25.16% acc_corr=26.22% avg#q_ae=9.43 med#q=4.0, avg_margin=-0.90 (n_ex=9597, eps=0.063, 117.77s)
41: acc=24.71% acc_corr=25.75% avg#q_ae=9.63 med#q=4.0, avg_margin=-0.93 (n_ex=9597, eps=0.063, 119.66s)
42: acc=24.36% acc_corr=25.38% avg#q_ae=9.79 med#q=4.0, avg_margin=-0.96 (n_ex=9597, eps=0.063, 121.51s)
43: acc=23.97% acc_corr=24.98% avg#q_ae=9.98 med#q=4.0, avg_margin=-0.98 (n_ex=9597, eps=0.063, 123.34s)
44: acc=23.65% acc_corr=24.64% avg#q_ae=10.13 med#q=4.0, avg_margin=-1.01 (n_ex=9597, eps=0.063, 125.14s)
45: acc=23.32% acc_corr=24.30% avg#q_ae=10.30 med#q=4.0, avg_margin=-1.03 (n_ex=9597, eps=0.063, 126.91s)
46: acc=22.94% acc_corr=23.90% avg#q_ae=10.49 med#q=4.0, avg_margin=-1.06 (n_ex=9597, eps=0.063, 128.67s)
47: acc=22.64% acc_corr=23.59% avg#q_ae=10.64 med#q=5.0, avg_margin=-1.08 (n_ex=9597, eps=0.063, 130.39s)
48: acc=22.37% acc_corr=23.31% avg#q_ae=10.78 med#q=5.0, avg_margin=-1.10 (n_ex=9597, eps=0.063, 132.09s)
