2021-03-26_19-45-48_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps4
1: acc=94.25% acc_corr=98.21% avg#q_ae=2.10 med#q=2.0, avg_margin=8.57, buff=19194, (n_ex=9597, eps=4.000, 6.75s)
2: acc=94.11% acc_corr=98.06% avg#q_ae=2.25 med#q=3.0, avg_margin=8.52, buff=19194, (n_ex=9597, eps=4.000, 13.55s)
3: acc=94.01% acc_corr=97.96% avg#q_ae=2.39 med#q=4.0, avg_margin=8.49, buff=19194, (n_ex=9597, eps=4.000, 20.50s)
4: acc=93.83% acc_corr=97.77% avg#q_ae=2.69 med#q=5.0, avg_margin=8.43, buff=19194, (n_ex=9597, eps=4.000, 27.25s)
5: acc=93.71% acc_corr=97.65% avg#q_ae=2.92 med#q=6.0, avg_margin=8.38, buff=19194, (n_ex=9597, eps=4.000, 34.13s)
6: acc=93.60% acc_corr=97.53% avg#q_ae=3.16 med#q=7.0, avg_margin=8.33, buff=19194, (n_ex=9597, eps=4.000, 41.01s)
7: acc=93.28% acc_corr=97.20% avg#q_ae=3.85 med#q=8.0, avg_margin=8.23, buff=19194, (n_ex=9597, eps=4.000, 47.80s)
8: acc=93.13% acc_corr=97.04% avg#q_ae=4.18 med#q=9.0, avg_margin=8.19, buff=19194, (n_ex=9597, eps=4.000, 54.46s)
9: acc=92.92% acc_corr=96.82% avg#q_ae=4.65 med#q=10.0, avg_margin=8.15, buff=19194, (n_ex=9597, eps=4.000, 61.23s)
10: acc=92.78% acc_corr=96.68% avg#q_ae=4.97 med#q=11.0, avg_margin=8.11, buff=19194, (n_ex=9597, eps=4.000, 67.93s)
11: acc=92.65% acc_corr=96.54% avg#q_ae=5.28 med#q=12.0, avg_margin=8.07, buff=19194, (n_ex=9597, eps=4.000, 74.66s)
12: acc=92.45% acc_corr=96.33% avg#q_ae=5.78 med#q=13.0, avg_margin=8.01, buff=19194, (n_ex=9597, eps=4.000, 81.40s)
13: acc=92.39% acc_corr=96.27% avg#q_ae=5.93 med#q=14.0, avg_margin=8.00, buff=19194, (n_ex=9597, eps=4.000, 88.11s)
14: acc=92.29% acc_corr=96.17% avg#q_ae=6.21 med#q=15.0, avg_margin=7.98, buff=19194, (n_ex=9597, eps=4.000, 95.12s)
15: acc=92.16% acc_corr=96.03% avg#q_ae=6.57 med#q=16.0, avg_margin=7.96, buff=19194, (n_ex=9597, eps=4.000, 101.73s)
16: acc=92.06% acc_corr=95.93% avg#q_ae=6.87 med#q=17.0, avg_margin=7.93, buff=19194, (n_ex=9597, eps=4.000, 108.30s)
