

All hps: 2021-03-10 11:51:39 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=8.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
2021-03-10_11-52-00_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1__Eps8
1: acc=87.33% acc_corr=91.00% avg#q_ae=2.09 med#q=2.0, avg_margin=7.10, buff=19194, (n_ex=9597, eps=8.000, 6.02s)
2: acc=86.97% acc_corr=90.62% avg#q_ae=2.16 med#q=3.0, avg_margin=7.00, buff=19194, (n_ex=9597, eps=8.000, 11.94s)
3: acc=86.69% acc_corr=90.33% avg#q_ae=2.25 med#q=4.0, avg_margin=6.93, buff=19194, (n_ex=9597, eps=8.000, 17.81s)
4: acc=86.18% acc_corr=89.80% avg#q_ae=2.44 med#q=5.0, avg_margin=6.81, buff=19194, (n_ex=9597, eps=8.000, 23.66s)
5: acc=85.65% acc_corr=89.25% avg#q_ae=2.68 med#q=6.0, avg_margin=6.71, buff=19194, (n_ex=9597, eps=8.000, 29.53s)
6: acc=85.19% acc_corr=88.77% avg#q_ae=2.90 med#q=7.0, avg_margin=6.60, buff=19194, (n_ex=9597, eps=8.000, 35.30s)
7: acc=83.82% acc_corr=87.34% avg#q_ae=3.59 med#q=8.0, avg_margin=6.38, buff=19194, (n_ex=9597, eps=8.000, 41.14s)
8: acc=83.26% acc_corr=86.76% avg#q_ae=3.87 med#q=9.0, avg_margin=6.29, buff=19194, (n_ex=9597, eps=8.000, 46.86s)
9: acc=82.82% acc_corr=86.30% avg#q_ae=4.11 med#q=10.0, avg_margin=6.20, buff=19194, (n_ex=9597, eps=8.000, 52.64s)
10: acc=82.37% acc_corr=85.83% avg#q_ae=4.37 med#q=11.0, avg_margin=6.12, buff=19194, (n_ex=9597, eps=8.000, 58.46s)
11: acc=81.90% acc_corr=85.34% avg#q_ae=4.66 med#q=12.0, avg_margin=6.05, buff=19194, (n_ex=9597, eps=8.000, 64.54s)
12: acc=81.10% acc_corr=84.51% avg#q_ae=5.16 med#q=13.0, avg_margin=5.92, buff=19194, (n_ex=9597, eps=8.000, 70.43s)
13: acc=80.91% acc_corr=84.31% avg#q_ae=5.29 med#q=14.0, avg_margin=5.89, buff=19194, (n_ex=9597, eps=8.000, 76.00s)
