2021-05-05_00-03-05_EXACT_IFTY1_resnet_preact_HRZ0_RND1__Eps76
1: acc=11.47% acc_corr=11.52% avg#q_ae=2.00 med#q=1.0, avg_margin=-10.09, buff=19918, n_ex=9959, eps=76.500, 2.19s
2: acc=11.45% acc_corr=11.50% avg#q_ae=2.00 med#q=1.0, avg_margin=-10.11, buff=19918, n_ex=9959, eps=76.500, 3.42s
3: acc=11.27% acc_corr=11.32% avg#q_ae=2.01 med#q=1.0, avg_margin=-10.19, buff=19918, n_ex=9959, eps=76.500, 3.61s
4: acc=11.20% acc_corr=11.25% avg#q_ae=2.01 med#q=1.0, avg_margin=-10.22, buff=19918, n_ex=9959, eps=76.500, 3.81s
5: acc=11.03% acc_corr=11.08% avg#q_ae=2.02 med#q=1.0, avg_margin=-10.25, buff=19918, n_ex=9959, eps=76.500, 3.99s
6: acc=10.93% acc_corr=10.97% avg#q_ae=2.03 med#q=1.0, avg_margin=-10.27, buff=19918, n_ex=9959, eps=76.500, 4.18s
7: acc=10.83% acc_corr=10.87% avg#q_ae=2.04 med#q=1.0, avg_margin=-10.29, buff=19918, n_ex=9959, eps=76.500, 4.37s
8: acc=10.73% acc_corr=10.77% avg#q_ae=2.05 med#q=1.0, avg_margin=-10.30, buff=19918, n_ex=9959, eps=76.500, 4.57s
9: acc=10.69% acc_corr=10.73% avg#q_ae=2.05 med#q=1.0, avg_margin=-10.31, buff=19918, n_ex=9959, eps=76.500, 4.76s
10: acc=10.68% acc_corr=10.72% avg#q_ae=2.05 med#q=1.0, avg_margin=-10.31, buff=19918, n_ex=9959, eps=76.500, 4.95s
11: acc=10.51% acc_corr=10.55% avg#q_ae=2.07 med#q=1.0, avg_margin=-10.34, buff=19918, n_ex=9959, eps=76.500, 5.12s
12: acc=10.44% acc_corr=10.48% avg#q_ae=2.08 med#q=1.0, avg_margin=-10.35, buff=19918, n_ex=9959, eps=76.500, 5.31s
13: acc=10.21% acc_corr=10.25% avg#q_ae=2.11 med#q=1.0, avg_margin=-10.38, buff=19918, n_ex=9959, eps=76.500, 5.49s
14: acc=10.19% acc_corr=10.23% avg#q_ae=2.12 med#q=1.0, avg_margin=-10.39, buff=19918, n_ex=9959, eps=76.500, 5.67s
15: acc=9.91% acc_corr=9.95% avg#q_ae=2.16 med#q=1.0, avg_margin=-10.43, buff=19918, n_ex=9959, eps=76.500, 5.86s
16: acc=9.86% acc_corr=9.90% avg#q_ae=2.17 med#q=1.0, avg_margin=-10.44, buff=19918, n_ex=9959, eps=76.500, 6.04s
17: acc=9.68% acc_corr=9.72% avg#q_ae=2.21 med#q=1.0, avg_margin=-10.46, buff=19918, n_ex=9959, eps=76.500, 6.21s
18: acc=9.63% acc_corr=9.67% avg#q_ae=2.22 med#q=1.0, avg_margin=-10.46, buff=19918, n_ex=9959, eps=76.500, 6.38s
19: acc=9.52% acc_corr=9.56% avg#q_ae=2.24 med#q=1.0, avg_margin=-10.48, buff=19918, n_ex=9959, eps=76.500, 6.55s
20: acc=9.30% acc_corr=9.34% avg#q_ae=2.29 med#q=1.0, avg_margin=-10.50, buff=19918, n_ex=9959, eps=76.500, 6.72s
21: acc=9.20% acc_corr=9.24% avg#q_ae=2.31 med#q=1.0, avg_margin=-10.51, buff=19918, n_ex=9959, eps=76.500, 6.86s
22: acc=9.00% acc_corr=9.04% avg#q_ae=2.36 med#q=1.0, avg_margin=-10.53, buff=19918, n_ex=9959, eps=76.500, 7.02s
23: acc=8.92% acc_corr=8.96% avg#q_ae=2.38 med#q=1.0, avg_margin=-10.54, buff=19918, n_ex=9959, eps=76.500, 7.17s
24: acc=8.90% acc_corr=8.94% avg#q_ae=2.38 med#q=1.0, avg_margin=-10.54, buff=19918, n_ex=9959, eps=76.500, 7.32s
25: acc=8.87% acc_corr=8.91% avg#q_ae=2.39 med#q=1.0, avg_margin=-10.55, buff=19918, n_ex=9959, eps=76.500, 7.47s
26: acc=8.77% acc_corr=8.81% avg#q_ae=2.42 med#q=1.0, avg_margin=-10.56, buff=19918, n_ex=9959, eps=76.500, 7.63s
27: acc=8.65% acc_corr=8.69% avg#q_ae=2.45 med#q=1.0, avg_margin=-10.56, buff=19918, n_ex=9959, eps=76.500, 7.79s
28: acc=8.65% acc_corr=8.69% avg#q_ae=2.45 med#q=1.0, avg_margin=-10.57, buff=19918, n_ex=9959, eps=76.500, 7.93s
29: acc=8.52% acc_corr=8.56% avg#q_ae=2.50 med#q=1.0, avg_margin=-10.58, buff=19918, n_ex=9959, eps=76.500, 8.08s
30: acc=8.47% acc_corr=8.50% avg#q_ae=2.51 med#q=1.0, avg_margin=-10.58, buff=19918, n_ex=9959, eps=76.500, 8.23s
31: acc=8.23% acc_corr=8.26% avg#q_ae=2.59 med#q=1.0, avg_margin=-10.60, buff=19918, n_ex=9959, eps=76.500, 8.37s
32: acc=8.16% acc_corr=8.19% avg#q_ae=2.62 med#q=1.0, avg_margin=-10.61, buff=19918, n_ex=9959, eps=76.500, 8.51s
33: acc=7.99% acc_corr=8.02% avg#q_ae=2.68 med#q=1.0, avg_margin=-10.62, buff=19918, n_ex=9959, eps=76.500, 8.65s
34: acc=7.83% acc_corr=7.86% avg#q_ae=2.73 med#q=1.0, avg_margin=-10.63, buff=19918, n_ex=9959, eps=76.500, 8.78s
35: acc=7.76% acc_corr=7.79% avg#q_ae=2.76 med#q=1.0, avg_margin=-10.64, buff=19918, n_ex=9959, eps=76.500, 8.90s
36: acc=7.60% acc_corr=7.63% avg#q_ae=2.82 med#q=1.0, avg_margin=-10.65, buff=19918, n_ex=9959, eps=76.500, 9.03s
37: acc=7.53% acc_corr=7.56% avg#q_ae=2.85 med#q=1.0, avg_margin=-10.66, buff=19918, n_ex=9959, eps=76.500, 9.16s
38: acc=7.44% acc_corr=7.47% avg#q_ae=2.88 med#q=1.0, avg_margin=-10.67, buff=19918, n_ex=9959, eps=76.500, 9.29s
39: acc=7.37% acc_corr=7.40% avg#q_ae=2.91 med#q=1.0, avg_margin=-10.67, buff=19918, n_ex=9959, eps=76.500, 9.41s
40: acc=7.18% acc_corr=7.21% avg#q_ae=2.99 med#q=1.0, avg_margin=-10.68, buff=19918, n_ex=9959, eps=76.500, 9.53s
41: acc=7.09% acc_corr=7.12% avg#q_ae=3.03 med#q=1.0, avg_margin=-10.69, buff=19918, n_ex=9959, eps=76.500, 9.65s
42: acc=6.96% acc_corr=6.99% avg#q_ae=3.09 med#q=1.0, avg_margin=-10.70, buff=19918, n_ex=9959, eps=76.500, 9.77s
43: acc=6.86% acc_corr=6.89% avg#q_ae=3.14 med#q=1.0, avg_margin=-10.70, buff=19918, n_ex=9959, eps=76.500, 9.88s
44: acc=6.80% acc_corr=6.83% avg#q_ae=3.16 med#q=1.0, avg_margin=-10.71, buff=19918, n_ex=9959, eps=76.500, 10.01s
45: acc=6.72% acc_corr=6.75% avg#q_ae=3.20 med#q=1.0, avg_margin=-10.71, buff=19918, n_ex=9959, eps=76.500, 10.12s
46: acc=6.71% acc_corr=6.74% avg#q_ae=3.21 med#q=1.0, avg_margin=-10.72, buff=19918, n_ex=9959, eps=76.500, 10.23s
47: acc=6.61% acc_corr=6.64% avg#q_ae=3.26 med#q=1.0, avg_margin=-10.72, buff=19918, n_ex=9959, eps=76.500, 10.35s
48: acc=6.51% acc_corr=6.54% avg#q_ae=3.31 med#q=1.0, avg_margin=-10.73, buff=19918, n_ex=9959, eps=76.500, 10.47s
49: acc=6.40% acc_corr=6.43% avg#q_ae=3.36 med#q=1.0, avg_margin=-10.73, buff=19918, n_ex=9959, eps=76.500, 10.58s
50: acc=6.27% acc_corr=6.30% avg#q_ae=3.43 med#q=1.0, avg_margin=-10.74, buff=19918, n_ex=9959, eps=76.500, 10.70s
51: acc=6.18% acc_corr=6.21% avg#q_ae=3.48 med#q=1.0, avg_margin=-10.75, buff=19918, n_ex=9959, eps=76.500, 10.80s
52: acc=6.09% acc_corr=6.12% avg#q_ae=3.53 med#q=1.0, avg_margin=-10.75, buff=19918, n_ex=9959, eps=76.500, 10.92s
53: acc=6.07% acc_corr=6.09% avg#q_ae=3.54 med#q=1.0, avg_margin=-10.75, buff=19918, n_ex=9959, eps=76.500, 11.03s
54: acc=6.07% acc_corr=6.09% avg#q_ae=3.54 med#q=1.0, avg_margin=-10.75, buff=19918, n_ex=9959, eps=76.500, 11.13s
55: acc=6.04% acc_corr=6.06% avg#q_ae=3.55 med#q=1.0, avg_margin=-10.75, buff=19918, n_ex=9959, eps=76.500, 11.23s
56: acc=5.95% acc_corr=5.97% avg#q_ae=3.61 med#q=1.0, avg_margin=-10.76, buff=19918, n_ex=9959, eps=76.500, 11.35s
57: acc=5.91% acc_corr=5.93% avg#q_ae=3.63 med#q=1.0, avg_margin=-10.76, buff=19918, n_ex=9959, eps=76.500, 11.45s
58: acc=5.86% acc_corr=5.88% avg#q_ae=3.66 med#q=1.0, avg_margin=-10.76, buff=19918, n_ex=9959, eps=76.500, 11.56s
59: acc=5.75% acc_corr=5.77% avg#q_ae=3.73 med#q=1.0, avg_margin=-10.77, buff=19918, n_ex=9959, eps=76.500, 11.66s
60: acc=5.74% acc_corr=5.76% avg#q_ae=3.73 med#q=1.0, avg_margin=-10.77, buff=19918, n_ex=9959, eps=76.500, 11.76s
61: acc=5.74% acc_corr=5.76% avg#q_ae=3.73 med#q=1.0, avg_margin=-10.77, buff=19918, n_ex=9959, eps=76.500, 11.87s
62: acc=5.73% acc_corr=5.75% avg#q_ae=3.74 med#q=1.0, avg_margin=-10.77, buff=19918, n_ex=9959, eps=76.500, 11.98s
63: acc=5.62% acc_corr=5.64% avg#q_ae=3.81 med#q=1.0, avg_margin=-10.78, buff=19918, n_ex=9959, eps=76.500, 12.08s
64: acc=5.54% acc_corr=5.56% avg#q_ae=3.86 med#q=1.0, avg_margin=-10.78, buff=19918, n_ex=9959, eps=76.500, 12.19s
65: acc=5.50% acc_corr=5.52% avg#q_ae=3.89 med#q=1.0, avg_margin=-10.78, buff=19918, n_ex=9959, eps=76.500, 12.28s
66: acc=5.46% acc_corr=5.48% avg#q_ae=3.92 med#q=1.0, avg_margin=-10.78, buff=19918, n_ex=9959, eps=76.500, 12.38s
67: acc=5.39% acc_corr=5.41% avg#q_ae=3.97 med#q=1.0, avg_margin=-10.79, buff=19918, n_ex=9959, eps=76.500, 12.49s
68: acc=5.34% acc_corr=5.36% avg#q_ae=4.00 med#q=1.0, avg_margin=-10.79, buff=19918, n_ex=9959, eps=76.500, 12.59s
69: acc=5.30% acc_corr=5.32% avg#q_ae=4.03 med#q=1.0, avg_margin=-10.79, buff=19918, n_ex=9959, eps=76.500, 12.69s
70: acc=5.27% acc_corr=5.29% avg#q_ae=4.05 med#q=1.0, avg_margin=-10.79, buff=19918, n_ex=9959, eps=76.500, 12.78s
71: acc=5.23% acc_corr=5.25% avg#q_ae=4.08 med#q=1.0, avg_margin=-10.79, buff=19918, n_ex=9959, eps=76.500, 12.87s
72: acc=5.15% acc_corr=5.17% avg#q_ae=4.14 med#q=1.0, avg_margin=-10.80, buff=19918, n_ex=9959, eps=76.500, 12.96s
73: acc=5.11% acc_corr=5.13% avg#q_ae=4.17 med#q=1.0, avg_margin=-10.80, buff=19918, n_ex=9959, eps=76.500, 13.06s
74: acc=5.03% acc_corr=5.05% avg#q_ae=4.23 med#q=1.0, avg_margin=-10.81, buff=19918, n_ex=9959, eps=76.500, 13.14s
75: acc=4.97% acc_corr=4.99% avg#q_ae=4.28 med#q=1.0, avg_margin=-10.81, buff=19918, n_ex=9959, eps=76.500, 13.23s
76: acc=4.88% acc_corr=4.90% avg#q_ae=4.35 med#q=1.0, avg_margin=-10.81, buff=19918, n_ex=9959, eps=76.500, 13.32s
77: acc=4.85% acc_corr=4.87% avg#q_ae=4.37 med#q=1.0, avg_margin=-10.81, buff=19918, n_ex=9959, eps=76.500, 13.40s
78: acc=4.81% acc_corr=4.83% avg#q_ae=4.40 med#q=1.0, avg_margin=-10.82, buff=19918, n_ex=9959, eps=76.500, 13.48s
79: acc=4.78% acc_corr=4.80% avg#q_ae=4.43 med#q=1.0, avg_margin=-10.82, buff=19918, n_ex=9959, eps=76.500, 13.57s
80: acc=4.74% acc_corr=4.76% avg#q_ae=4.46 med#q=1.0, avg_margin=-10.82, buff=19918, n_ex=9959, eps=76.500, 13.65s
81: acc=4.68% acc_corr=4.70% avg#q_ae=4.51 med#q=1.0, avg_margin=-10.82, buff=19918, n_ex=9959, eps=76.500, 13.73s
82: acc=4.67% acc_corr=4.69% avg#q_ae=4.52 med#q=1.0, avg_margin=-10.83, buff=19918, n_ex=9959, eps=76.500, 13.81s
83: acc=4.64% acc_corr=4.66% avg#q_ae=4.54 med#q=1.0, avg_margin=-10.83, buff=19918, n_ex=9959, eps=76.500, 13.90s
84: acc=4.63% acc_corr=4.65% avg#q_ae=4.55 med#q=1.0, avg_margin=-10.83, buff=19918, n_ex=9959, eps=76.500, 13.99s
85: acc=4.60% acc_corr=4.62% avg#q_ae=4.58 med#q=1.0, avg_margin=-10.83, buff=19918, n_ex=9959, eps=76.500, 14.07s
86: acc=4.55% acc_corr=4.57% avg#q_ae=4.62 med#q=1.0, avg_margin=-10.83, buff=19918, n_ex=9959, eps=76.500, 14.16s
87: acc=4.54% acc_corr=4.56% avg#q_ae=4.63 med#q=1.0, avg_margin=-10.83, buff=19918, n_ex=9959, eps=76.500, 14.23s
88: acc=4.54% acc_corr=4.56% avg#q_ae=4.63 med#q=1.0, avg_margin=-10.84, buff=19918, n_ex=9959, eps=76.500, 14.32s
