2021-05-05_00-12-41_EXACT_IFTY1_densenet_HRZ0_RND1__Eps76
1: acc=91.48% acc_corr=91.98% avg#q_ae=2.36 med#q=2.0, avg_margin=6.72, buff=19892, n_ex=9946, eps=76.500, 11.84s
2: acc=89.30% acc_corr=89.78% avg#q_ae=2.72 med#q=3.0, avg_margin=6.15, buff=19892, n_ex=9946, eps=76.500, 20.53s
3: acc=86.16% acc_corr=86.63% avg#q_ae=3.25 med#q=4.0, avg_margin=5.51, buff=19892, n_ex=9946, eps=76.500, 28.39s
4: acc=83.30% acc_corr=83.75% avg#q_ae=3.74 med#q=5.0, avg_margin=5.08, buff=19892, n_ex=9946, eps=76.500, 31.93s
5: acc=81.19% acc_corr=81.63% avg#q_ae=4.12 med#q=6.0, avg_margin=4.80, buff=19892, n_ex=9946, eps=76.500, 34.86s
6: acc=78.98% acc_corr=79.41% avg#q_ae=4.54 med#q=7.0, avg_margin=4.42, buff=19892, n_ex=9946, eps=76.500, 36.38s
7: acc=76.70% acc_corr=77.12% avg#q_ae=4.98 med#q=8.0, avg_margin=4.10, buff=19892, n_ex=9946, eps=76.500, 37.68s
8: acc=73.63% acc_corr=74.03% avg#q_ae=5.58 med#q=9.0, avg_margin=3.73, buff=19892, n_ex=9946, eps=76.500, 39.38s
9: acc=71.97% acc_corr=72.36% avg#q_ae=5.91 med#q=10.0, avg_margin=3.58, buff=19892, n_ex=9946, eps=76.500, 41.22s
10: acc=70.17% acc_corr=70.55% avg#q_ae=6.28 med#q=11.0, avg_margin=3.35, buff=19892, n_ex=9946, eps=76.500, 43.75s
11: acc=67.17% acc_corr=67.53% avg#q_ae=6.91 med#q=12.0, avg_margin=3.09, buff=19892, n_ex=9946, eps=76.500, 46.78s
12: acc=64.50% acc_corr=64.85% avg#q_ae=7.45 med#q=13.0, avg_margin=2.86, buff=19892, n_ex=9946, eps=76.500, 49.37s
13: acc=63.02% acc_corr=63.36% avg#q_ae=7.75 med#q=14.0, avg_margin=2.73, buff=19892, n_ex=9946, eps=76.500, 51.74s
14: acc=61.03% acc_corr=61.36% avg#q_ae=8.18 med#q=15.0, avg_margin=2.56, buff=19892, n_ex=9946, eps=76.500, 53.52s
15: acc=59.68% acc_corr=60.00% avg#q_ae=8.48 med#q=16.0, avg_margin=2.43, buff=19892, n_ex=9946, eps=76.500, 54.67s
16: acc=58.18% acc_corr=58.50% avg#q_ae=8.83 med#q=17.0, avg_margin=2.27, buff=19892, n_ex=9946, eps=76.500, 55.66s
17: acc=56.69% acc_corr=57.00% avg#q_ae=9.18 med#q=18.0, avg_margin=2.14, buff=19892, n_ex=9946, eps=76.500, 58.02s
