2021-05-05_00-13-12_EXACT_IFTY1_wrn_HRZ0_RND1__Eps76
1: acc=91.48% acc_corr=92.02% avg#q_ae=2.74 med#q=2.0, avg_margin=5.22, buff=19882, n_ex=9941, eps=76.500, 5.82s
2: acc=90.05% acc_corr=90.58% avg#q_ae=2.93 med#q=3.0, avg_margin=4.88, buff=19882, n_ex=9941, eps=76.500, 8.61s
3: acc=88.58% acc_corr=89.11% avg#q_ae=3.22 med#q=4.0, avg_margin=4.60, buff=19882, n_ex=9941, eps=76.500, 12.73s
4: acc=85.04% acc_corr=85.54% avg#q_ae=3.90 med#q=5.0, avg_margin=4.05, buff=19882, n_ex=9941, eps=76.500, 17.74s
5: acc=82.70% acc_corr=83.19% avg#q_ae=4.34 med#q=6.0, avg_margin=3.68, buff=19882, n_ex=9941, eps=76.500, 20.62s
6: acc=79.36% acc_corr=79.83% avg#q_ae=4.95 med#q=7.0, avg_margin=3.27, buff=19882, n_ex=9941, eps=76.500, 23.31s
7: acc=77.50% acc_corr=77.96% avg#q_ae=5.29 med#q=8.0, avg_margin=3.10, buff=19882, n_ex=9941, eps=76.500, 26.61s
8: acc=72.88% acc_corr=73.31% avg#q_ae=6.11 med#q=9.0, avg_margin=2.67, buff=19882, n_ex=9941, eps=76.500, 32.43s
9: acc=70.57% acc_corr=70.99% avg#q_ae=6.50 med#q=10.0, avg_margin=2.46, buff=19882, n_ex=9941, eps=76.500, 36.57s
10: acc=67.57% acc_corr=67.97% avg#q_ae=7.02 med#q=11.0, avg_margin=2.23, buff=19882, n_ex=9941, eps=76.500, 39.83s
11: acc=67.03% acc_corr=67.43% avg#q_ae=7.12 med#q=12.0, avg_margin=2.18, buff=19882, n_ex=9941, eps=76.500, 44.97s
12: acc=65.50% acc_corr=65.89% avg#q_ae=7.43 med#q=13.0, avg_margin=2.08, buff=19882, n_ex=9941, eps=76.500, 49.72s
13: acc=64.96% acc_corr=65.35% avg#q_ae=7.55 med#q=14.0, avg_margin=2.03, buff=19882, n_ex=9941, eps=76.500, 54.51s
14: acc=63.01% acc_corr=63.38% avg#q_ae=8.00 med#q=15.0, avg_margin=1.91, buff=19882, n_ex=9941, eps=76.500, 56.75s
15: acc=62.09% acc_corr=62.46% avg#q_ae=8.22 med#q=16.0, avg_margin=1.87, buff=19882, n_ex=9941, eps=76.500, 58.58s
16: acc=61.34% acc_corr=61.70% avg#q_ae=8.42 med#q=17.0, avg_margin=1.83, buff=19882, n_ex=9941, eps=76.500, 60.51s
17: acc=60.46% acc_corr=60.82% avg#q_ae=8.65 med#q=18.0, avg_margin=1.77, buff=19882, n_ex=9941, eps=76.500, 63.32s
18: acc=59.55% acc_corr=59.90% avg#q_ae=8.91 med#q=19.0, avg_margin=1.71, buff=19882, n_ex=9941, eps=76.500, 65.56s
19: acc=58.77% acc_corr=59.12% avg#q_ae=9.15 med#q=20.0, avg_margin=1.67, buff=19882, n_ex=9941, eps=76.500, 67.62s
20: acc=56.38% acc_corr=56.71% avg#q_ae=9.86 med#q=21.0, avg_margin=1.53, buff=19882, n_ex=9941, eps=76.500, 69.55s
21: acc=55.41% acc_corr=55.74% avg#q_ae=10.15 med#q=22.0, avg_margin=1.47, buff=19882, n_ex=9941, eps=76.500, 71.14s
