2021-05-05_00-14-46_EXACT_IFTY0_resnet_preact_HRZ0_RND1__Eps3
1: acc=97.66% acc_corr=98.06% avg#q_ae=2.83 med#q=2.0, avg_margin=8.17, buff=19918, n_ex=9959, eps=3.000, 3.64s
2: acc=96.31% acc_corr=96.71% avg#q_ae=3.31 med#q=3.0, avg_margin=7.70, buff=19918, n_ex=9959, eps=3.000, 6.86s
3: acc=94.14% acc_corr=94.53% avg#q_ae=3.99 med#q=4.0, avg_margin=6.98, buff=19918, n_ex=9959, eps=3.000, 9.58s
4: acc=93.90% acc_corr=94.29% avg#q_ae=4.07 med#q=5.0, avg_margin=6.85, buff=19918, n_ex=9959, eps=3.000, 13.22s
5: acc=92.97% acc_corr=93.35% avg#q_ae=4.48 med#q=6.0, avg_margin=6.59, buff=19918, n_ex=9959, eps=3.000, 20.02s
6: acc=92.57% acc_corr=92.95% avg#q_ae=4.68 med#q=7.0, avg_margin=6.44, buff=19918, n_ex=9959, eps=3.000, 26.12s
7: acc=91.85% acc_corr=92.23% avg#q_ae=5.08 med#q=8.0, avg_margin=6.28, buff=19918, n_ex=9959, eps=3.000, 32.39s
8: acc=91.74% acc_corr=92.12% avg#q_ae=5.15 med#q=9.0, avg_margin=6.24, buff=19918, n_ex=9959, eps=3.000, 37.42s
9: acc=89.35% acc_corr=89.72% avg#q_ae=6.52 med#q=10.0, avg_margin=5.85, buff=19918, n_ex=9959, eps=3.000, 41.91s
10: acc=88.53% acc_corr=88.89% avg#q_ae=6.92 med#q=11.0, avg_margin=5.64, buff=19918, n_ex=9959, eps=3.000, 45.54s
11: acc=87.22% acc_corr=87.58% avg#q_ae=7.57 med#q=12.0, avg_margin=5.39, buff=19918, n_ex=9959, eps=3.000, 54.21s
12: acc=86.80% acc_corr=87.16% avg#q_ae=7.78 med#q=13.0, avg_margin=5.27, buff=19918, n_ex=9959, eps=3.000, 57.18s
13: acc=85.97% acc_corr=86.32% avg#q_ae=8.22 med#q=14.0, avg_margin=5.13, buff=19918, n_ex=9959, eps=3.000, 63.77s
14: acc=85.43% acc_corr=85.78% avg#q_ae=8.52 med#q=15.0, avg_margin=5.05, buff=19918, n_ex=9959, eps=3.000, 70.73s
15: acc=84.30% acc_corr=84.65% avg#q_ae=9.14 med#q=16.0, avg_margin=4.85, buff=19918, n_ex=9959, eps=3.000, 77.10s
16: acc=84.19% acc_corr=84.54% avg#q_ae=9.21 med#q=17.0, avg_margin=4.83, buff=19918, n_ex=9959, eps=3.000, 80.17s
17: acc=83.96% acc_corr=84.31% avg#q_ae=9.35 med#q=18.0, avg_margin=4.75, buff=19918, n_ex=9959, eps=3.000, 87.86s
18: acc=83.48% acc_corr=83.82% avg#q_ae=9.67 med#q=19.0, avg_margin=4.66, buff=19918, n_ex=9959, eps=3.000, 91.51s
19: acc=82.64% acc_corr=82.98% avg#q_ae=10.23 med#q=20.0, avg_margin=4.54, buff=19918, n_ex=9959, eps=3.000, 94.87s
20: acc=82.31% acc_corr=82.65% avg#q_ae=10.45 med#q=21.0, avg_margin=4.49, buff=19918, n_ex=9959, eps=3.000, 101.96s
21: acc=81.74% acc_corr=82.08% avg#q_ae=10.85 med#q=22.0, avg_margin=4.41, buff=19918, n_ex=9959, eps=3.000, 107.65s
22: acc=81.17% acc_corr=81.50% avg#q_ae=11.26 med#q=23.0, avg_margin=4.34, buff=19918, n_ex=9959, eps=3.000, 113.45s
23: acc=80.97% acc_corr=81.30% avg#q_ae=11.41 med#q=24.0, avg_margin=4.30, buff=19918, n_ex=9959, eps=3.000, 123.43s
24: acc=80.14% acc_corr=80.47% avg#q_ae=12.03 med#q=25.0, avg_margin=4.20, buff=19918, n_ex=9959, eps=3.000, 140.22s
25: acc=79.78% acc_corr=80.11% avg#q_ae=12.30 med#q=26.0, avg_margin=4.16, buff=19918, n_ex=9959, eps=3.000, 148.97s
26: acc=79.15% acc_corr=79.48% avg#q_ae=12.79 med#q=27.0, avg_margin=4.09, buff=19918, n_ex=9959, eps=3.000, 151.56s
27: acc=78.46% acc_corr=78.78% avg#q_ae=13.32 med#q=28.0, avg_margin=4.02, buff=19918, n_ex=9959, eps=3.000, 155.72s
28: acc=77.42% acc_corr=77.74% avg#q_ae=14.10 med#q=29.0, avg_margin=3.92, buff=19918, n_ex=9959, eps=3.000, 160.16s
29: acc=76.14% acc_corr=76.45% avg#q_ae=15.02 med#q=30.0, avg_margin=3.80, buff=19918, n_ex=9959, eps=3.000, 165.54s
30: acc=75.64% acc_corr=75.95% avg#q_ae=15.38 med#q=31.0, avg_margin=3.73, buff=19918, n_ex=9959, eps=3.000, 168.71s
31: acc=74.81% acc_corr=75.12% avg#q_ae=15.97 med#q=32.0, avg_margin=3.66, buff=19918, n_ex=9959, eps=3.000, 173.48s
32: acc=73.73% acc_corr=74.03% avg#q_ae=16.72 med#q=33.0, avg_margin=3.57, buff=19918, n_ex=9959, eps=3.000, 182.38s
33: acc=72.73% acc_corr=73.03% avg#q_ae=17.40 med#q=34.0, avg_margin=3.49, buff=19918, n_ex=9959, eps=3.000, 189.64s
34: acc=71.92% acc_corr=72.22% avg#q_ae=17.94 med#q=35.0, avg_margin=3.42, buff=19918, n_ex=9959, eps=3.000, 194.51s
35: acc=71.33% acc_corr=71.62% avg#q_ae=18.34 med#q=36.0, avg_margin=3.38, buff=19918, n_ex=9959, eps=3.000, 199.52s
36: acc=70.91% acc_corr=71.20% avg#q_ae=18.63 med#q=37.0, avg_margin=3.32, buff=19918, n_ex=9959, eps=3.000, 205.75s
37: acc=70.28% acc_corr=70.57% avg#q_ae=19.07 med#q=38.0, avg_margin=3.25, buff=19918, n_ex=9959, eps=3.000, 217.69s
