2021-05-05_00-17-17_EXACT_IFTY0_densenet_HRZ0_RND1__Eps3
1: acc=98.50% acc_corr=99.03% avg#q_ae=2.65 med#q=2.0, avg_margin=9.09, buff=19892, n_ex=9946, eps=3.000, 3.40s
2: acc=98.08% acc_corr=98.61% avg#q_ae=3.06 med#q=3.0, avg_margin=8.53, buff=19892, n_ex=9946, eps=3.000, 7.31s
3: acc=97.75% acc_corr=98.28% avg#q_ae=3.43 med#q=4.0, avg_margin=8.20, buff=19892, n_ex=9946, eps=3.000, 12.90s
4: acc=96.91% acc_corr=97.44% avg#q_ae=4.28 med#q=5.0, avg_margin=7.73, buff=19892, n_ex=9946, eps=3.000, 17.62s
5: acc=94.97% acc_corr=95.49% avg#q_ae=5.45 med#q=6.0, avg_margin=6.98, buff=19892, n_ex=9946, eps=3.000, 26.06s
6: acc=93.85% acc_corr=94.36% avg#q_ae=5.96 med#q=7.0, avg_margin=6.65, buff=19892, n_ex=9946, eps=3.000, 35.43s
7: acc=92.84% acc_corr=93.34% avg#q_ae=6.43 med#q=8.0, avg_margin=6.38, buff=19892, n_ex=9946, eps=3.000, 44.12s
8: acc=91.50% acc_corr=92.00% avg#q_ae=7.03 med#q=9.0, avg_margin=5.86, buff=19892, n_ex=9946, eps=3.000, 51.10s
9: acc=90.41% acc_corr=90.90% avg#q_ae=7.51 med#q=10.0, avg_margin=5.54, buff=19892, n_ex=9946, eps=3.000, 57.01s
10: acc=89.55% acc_corr=90.04% avg#q_ae=7.90 med#q=11.0, avg_margin=5.32, buff=19892, n_ex=9946, eps=3.000, 65.93s
11: acc=88.50% acc_corr=88.98% avg#q_ae=8.39 med#q=12.0, avg_margin=5.12, buff=19892, n_ex=9946, eps=3.000, 70.65s
12: acc=88.00% acc_corr=88.48% avg#q_ae=8.63 med#q=13.0, avg_margin=4.98, buff=19892, n_ex=9946, eps=3.000, 78.37s
13: acc=87.25% acc_corr=87.72% avg#q_ae=9.02 med#q=14.0, avg_margin=4.84, buff=19892, n_ex=9946, eps=3.000, 83.86s
14: acc=86.72% acc_corr=87.19% avg#q_ae=9.31 med#q=15.0, avg_margin=4.74, buff=19892, n_ex=9946, eps=3.000, 95.64s
15: acc=86.19% acc_corr=86.66% avg#q_ae=9.62 med#q=16.0, avg_margin=4.64, buff=19892, n_ex=9946, eps=3.000, 104.61s
16: acc=85.15% acc_corr=85.61% avg#q_ae=10.23 med#q=17.0, avg_margin=4.49, buff=19892, n_ex=9946, eps=3.000, 110.50s
17: acc=83.96% acc_corr=84.42% avg#q_ae=10.90 med#q=18.0, avg_margin=4.32, buff=19892, n_ex=9946, eps=3.000, 121.61s
18: acc=82.91% acc_corr=83.36% avg#q_ae=11.48 med#q=19.0, avg_margin=4.14, buff=19892, n_ex=9946, eps=3.000, 131.27s
19: acc=82.18% acc_corr=82.63% avg#q_ae=11.88 med#q=20.0, avg_margin=4.05, buff=19892, n_ex=9946, eps=3.000, 143.53s
