2021-05-05_00-21-17_EXACT_IFTY0_wrn_HRZ0_RND1__Eps3
1: acc=98.73% acc_corr=99.32% avg#q_ae=2.63 med#q=2.0, avg_margin=7.90, buff=19882, n_ex=9941, eps=3.000, 17.03s
2: acc=97.56% acc_corr=98.14% avg#q_ae=3.50 med#q=3.0, avg_margin=6.91, buff=19882, n_ex=9941, eps=3.000, 31.21s
3: acc=95.93% acc_corr=96.50% avg#q_ae=4.20 med#q=4.0, avg_margin=6.38, buff=19882, n_ex=9941, eps=3.000, 45.46s
4: acc=94.68% acc_corr=95.24% avg#q_ae=4.68 med#q=5.0, avg_margin=5.99, buff=19882, n_ex=9941, eps=3.000, 68.93s
5: acc=94.10% acc_corr=94.66% avg#q_ae=4.93 med#q=6.0, avg_margin=5.71, buff=19882, n_ex=9941, eps=3.000, 102.66s
6: acc=91.02% acc_corr=91.56% avg#q_ae=6.06 med#q=7.0, avg_margin=5.24, buff=19882, n_ex=9941, eps=3.000, 126.12s
7: acc=89.83% acc_corr=90.36% avg#q_ae=6.42 med#q=8.0, avg_margin=4.96, buff=19882, n_ex=9941, eps=3.000, 142.64s
8: acc=89.15% acc_corr=89.68% avg#q_ae=6.66 med#q=9.0, avg_margin=4.75, buff=19882, n_ex=9941, eps=3.000, 160.12s
9: acc=87.99% acc_corr=88.51% avg#q_ae=7.10 med#q=10.0, avg_margin=4.51, buff=19882, n_ex=9941, eps=3.000, 185.04s
10: acc=86.72% acc_corr=87.23% avg#q_ae=7.59 med#q=11.0, avg_margin=4.30, buff=19882, n_ex=9941, eps=3.000, 196.43s
11: acc=84.66% acc_corr=85.16% avg#q_ae=8.35 med#q=12.0, avg_margin=4.04, buff=19882, n_ex=9941, eps=3.000, 211.57s
12: acc=83.97% acc_corr=84.47% avg#q_ae=8.60 med#q=13.0, avg_margin=3.89, buff=19882, n_ex=9941, eps=3.000, 234.79s
13: acc=82.42% acc_corr=82.91% avg#q_ae=9.18 med#q=14.0, avg_margin=3.70, buff=19882, n_ex=9941, eps=3.000, 256.73s
14: acc=80.72% acc_corr=81.20% avg#q_ae=9.80 med#q=15.0, avg_margin=3.51, buff=19882, n_ex=9941, eps=3.000, 270.47s
15: acc=79.14% acc_corr=79.61% avg#q_ae=10.36 med#q=16.0, avg_margin=3.36, buff=19882, n_ex=9941, eps=3.000, 286.24s
16: acc=77.91% acc_corr=78.37% avg#q_ae=10.80 med#q=17.0, avg_margin=3.23, buff=19882, n_ex=9941, eps=3.000, 302.28s
17: acc=76.99% acc_corr=77.45% avg#q_ae=11.14 med#q=18.0, avg_margin=3.11, buff=19882, n_ex=9941, eps=3.000, 330.22s
18: acc=76.34% acc_corr=76.79% avg#q_ae=11.39 med#q=19.0, avg_margin=3.05, buff=19882, n_ex=9941, eps=3.000, 338.99s
19: acc=75.76% acc_corr=76.21% avg#q_ae=11.62 med#q=20.0, avg_margin=2.98, buff=19882, n_ex=9941, eps=3.000, 351.97s
20: acc=74.85% acc_corr=75.29% avg#q_ae=12.01 med#q=21.0, avg_margin=2.89, buff=19882, n_ex=9941, eps=3.000, 377.86s
21: acc=74.31% acc_corr=74.75% avg#q_ae=12.24 med#q=22.0, avg_margin=2.83, buff=19882, n_ex=9941, eps=3.000, 396.54s
22: acc=73.66% acc_corr=74.10% avg#q_ae=12.54 med#q=23.0, avg_margin=2.77, buff=19882, n_ex=9941, eps=3.000, 417.35s
23: acc=72.21% acc_corr=72.64% avg#q_ae=13.20 med#q=24.0, avg_margin=2.66, buff=19882, n_ex=9941, eps=3.000, 440.34s
24: acc=71.21% acc_corr=71.63% avg#q_ae=13.66 med#q=25.0, avg_margin=2.58, buff=19882, n_ex=9941, eps=3.000, 467.49s
25: acc=70.92% acc_corr=71.34% avg#q_ae=13.79 med#q=26.0, avg_margin=2.54, buff=19882, n_ex=9941, eps=3.000, 488.99s
26: acc=69.66% acc_corr=70.07% avg#q_ae=14.40 med#q=27.0, avg_margin=2.45, buff=19882, n_ex=9941, eps=3.000, 498.46s
27: acc=68.90% acc_corr=69.31% avg#q_ae=14.76 med#q=28.0, avg_margin=2.38, buff=19882, n_ex=9941, eps=3.000, 514.16s
28: acc=67.99% acc_corr=68.39% avg#q_ae=15.20 med#q=29.0, avg_margin=2.28, buff=19882, n_ex=9941, eps=3.000, 535.43s
29: acc=67.14% acc_corr=67.54% avg#q_ae=15.62 med#q=30.0, avg_margin=2.23, buff=19882, n_ex=9941, eps=3.000, 555.99s
30: acc=66.42% acc_corr=66.81% avg#q_ae=15.97 med#q=31.0, avg_margin=2.16, buff=19882, n_ex=9941, eps=3.000, 563.18s
31: acc=65.20% acc_corr=65.59% avg#q_ae=16.58 med#q=32.0, avg_margin=2.07, buff=19882, n_ex=9941, eps=3.000, 581.21s
32: acc=64.58% acc_corr=64.96% avg#q_ae=16.89 med#q=33.0, avg_margin=2.03, buff=19882, n_ex=9941, eps=3.000, 599.82s
33: acc=63.81% acc_corr=64.19% avg#q_ae=17.28 med#q=34.0, avg_margin=1.98, buff=19882, n_ex=9941, eps=3.000, 613.99s
34: acc=63.14% acc_corr=63.51% avg#q_ae=17.63 med#q=35.0, avg_margin=1.92, buff=19882, n_ex=9941, eps=3.000, 625.14s
35: acc=62.25% acc_corr=62.62% avg#q_ae=18.09 med#q=36.0, avg_margin=1.86, buff=19882, n_ex=9941, eps=3.000, 630.00s
36: acc=61.20% acc_corr=61.56% avg#q_ae=18.64 med#q=37.0, avg_margin=1.80, buff=19882, n_ex=9941, eps=3.000, 644.27s
37: acc=60.33% acc_corr=60.69% avg#q_ae=19.09 med#q=38.0, avg_margin=1.75, buff=19882, n_ex=9941, eps=3.000, 659.24s
38: acc=59.71% acc_corr=60.06% avg#q_ae=19.42 med#q=39.0, avg_margin=1.71, buff=19882, n_ex=9941, eps=3.000, 672.42s
39: acc=59.01% acc_corr=59.36% avg#q_ae=19.79 med#q=40.0, avg_margin=1.67, buff=19882, n_ex=9941, eps=3.000, 682.64s
40: acc=58.31% acc_corr=58.66% avg#q_ae=20.17 med#q=41.0, avg_margin=1.63, buff=19882, n_ex=9941, eps=3.000, 691.90s
41: acc=57.69% acc_corr=58.03% avg#q_ae=20.51 med#q=42.0, avg_margin=1.59, buff=19882, n_ex=9941, eps=3.000, 717.85s
42: acc=57.21% acc_corr=57.55% avg#q_ae=20.78 med#q=43.0, avg_margin=1.56, buff=19882, n_ex=9941, eps=3.000, 740.54s
43: acc=56.76% acc_corr=57.10% avg#q_ae=21.03 med#q=44.0, avg_margin=1.54, buff=19882, n_ex=9941, eps=3.000, 754.55s
44: acc=56.26% acc_corr=56.59% avg#q_ae=21.32 med#q=45.0, avg_margin=1.51, buff=19882, n_ex=9941, eps=3.000, 768.12s
45: acc=55.80% acc_corr=56.13% avg#q_ae=21.59 med#q=46.0, avg_margin=1.46, buff=19882, n_ex=9941, eps=3.000, 784.79s
46: acc=55.25% acc_corr=55.58% avg#q_ae=21.92 med#q=47.0, avg_margin=1.43, buff=19882, n_ex=9941, eps=3.000, 794.94s
47: acc=54.73% acc_corr=55.05% avg#q_ae=22.24 med#q=48.0, avg_margin=1.39, buff=19882, n_ex=9941, eps=3.000, 804.88s
48: acc=54.36% acc_corr=54.68% avg#q_ae=22.47 med#q=49.0, avg_margin=1.37, buff=19882, n_ex=9941, eps=3.000, 820.96s
49: acc=53.68% acc_corr=54.00% avg#q_ae=22.89 med#q=50.0, avg_margin=1.33, buff=19882, n_ex=9941, eps=3.000, 830.69s
50: acc=52.77% acc_corr=53.08% avg#q_ae=23.46 med#q=51.0, avg_margin=1.29, buff=19882, n_ex=9941, eps=3.000, 849.53s
51: acc=52.37% acc_corr=52.68% avg#q_ae=23.71 med#q=52.0, avg_margin=1.26, buff=19882, n_ex=9941, eps=3.000, 856.78s
52: acc=51.69% acc_corr=52.00% avg#q_ae=24.14 med#q=53.0, avg_margin=1.23, buff=19882, n_ex=9941, eps=3.000, 860.15s
53: acc=51.20% acc_corr=51.50% avg#q_ae=24.46 med#q=54.0, avg_margin=1.21, buff=19882, n_ex=9941, eps=3.000, 861.00s
54: acc=50.76% acc_corr=51.06% avg#q_ae=24.74 med#q=55.0, avg_margin=1.20, buff=19882, n_ex=9941, eps=3.000, 861.84s
55: acc=50.28% acc_corr=50.58% avg#q_ae=25.06 med#q=56.0, avg_margin=1.18, buff=19882, n_ex=9941, eps=3.000, 862.67s
56: acc=49.84% acc_corr=50.14% avg#q_ae=25.35 med#q=57.0, avg_margin=1.16, buff=19882, n_ex=9941, eps=3.000, 863.50s
57: acc=49.53% acc_corr=49.82% avg#q_ae=25.56 med#q=58.0, avg_margin=1.14, buff=19882, n_ex=9941, eps=3.000, 864.31s
58: acc=48.98% acc_corr=49.27% avg#q_ae=25.93 med#q=58.0, avg_margin=1.12, buff=19882, n_ex=9941, eps=3.000, 865.13s
59: acc=48.59% acc_corr=48.88% avg#q_ae=26.20 med#q=58.0, avg_margin=1.10, buff=19882, n_ex=9941, eps=3.000, 865.94s
60: acc=48.20% acc_corr=48.49% avg#q_ae=26.47 med#q=58.0, avg_margin=1.08, buff=19882, n_ex=9941, eps=3.000, 866.74s
61: acc=47.64% acc_corr=47.92% avg#q_ae=26.87 med#q=58.0, avg_margin=1.05, buff=19882, n_ex=9941, eps=3.000, 867.54s
62: acc=47.28% acc_corr=47.56% avg#q_ae=27.13 med#q=58.0, avg_margin=1.03, buff=19882, n_ex=9941, eps=3.000, 869.59s
63: acc=46.70% acc_corr=46.98% avg#q_ae=27.54 med#q=58.0, avg_margin=1.00, buff=19882, n_ex=9941, eps=3.000, 870.37s
64: acc=46.33% acc_corr=46.60% avg#q_ae=27.81 med#q=58.0, avg_margin=0.98, buff=19882, n_ex=9941, eps=3.000, 871.16s
65: acc=46.06% acc_corr=46.33% avg#q_ae=28.01 med#q=58.0, avg_margin=0.97, buff=19882, n_ex=9941, eps=3.000, 871.92s
66: acc=45.83% acc_corr=46.10% avg#q_ae=28.18 med#q=58.0, avg_margin=0.96, buff=19882, n_ex=9941, eps=3.000, 872.69s
67: acc=45.75% acc_corr=46.02% avg#q_ae=28.24 med#q=58.0, avg_margin=0.95, buff=19882, n_ex=9941, eps=3.000, 873.45s
68: acc=45.25% acc_corr=45.52% avg#q_ae=28.63 med#q=58.0, avg_margin=0.93, buff=19882, n_ex=9941, eps=3.000, 874.21s
69: acc=44.86% acc_corr=45.13% avg#q_ae=28.93 med#q=58.0, avg_margin=0.92, buff=19882, n_ex=9941, eps=3.000, 874.97s
70: acc=44.61% acc_corr=44.87% avg#q_ae=29.13 med#q=58.0, avg_margin=0.91, buff=19882, n_ex=9941, eps=3.000, 875.72s
71: acc=44.27% acc_corr=44.53% avg#q_ae=29.40 med#q=58.0, avg_margin=0.88, buff=19882, n_ex=9941, eps=3.000, 876.47s
72: acc=44.02% acc_corr=44.28% avg#q_ae=29.60 med#q=58.0, avg_margin=0.87, buff=19882, n_ex=9941, eps=3.000, 877.21s
73: acc=43.80% acc_corr=44.06% avg#q_ae=29.78 med#q=58.0, avg_margin=0.86, buff=19882, n_ex=9941, eps=3.000, 877.95s
74: acc=43.14% acc_corr=43.40% avg#q_ae=30.32 med#q=58.0, avg_margin=0.83, buff=19882, n_ex=9941, eps=3.000, 878.70s
75: acc=42.77% acc_corr=43.02% avg#q_ae=30.63 med#q=58.0, avg_margin=0.82, buff=19882, n_ex=9941, eps=3.000, 879.43s
76: acc=42.19% acc_corr=42.44% avg#q_ae=31.11 med#q=58.0, avg_margin=0.80, buff=19882, n_ex=9941, eps=3.000, 880.35s
77: acc=41.94% acc_corr=42.19% avg#q_ae=31.31 med#q=58.0, avg_margin=0.79, buff=19882, n_ex=9941, eps=3.000, 881.06s
78: acc=41.44% acc_corr=41.69% avg#q_ae=31.73 med#q=58.0, avg_margin=0.76, buff=19882, n_ex=9941, eps=3.000, 881.77s
79: acc=41.02% acc_corr=41.26% avg#q_ae=32.09 med#q=58.0, avg_margin=0.74, buff=19882, n_ex=9941, eps=3.000, 882.47s
80: acc=40.80% acc_corr=41.04% avg#q_ae=32.28 med#q=58.0, avg_margin=0.74, buff=19882, n_ex=9941, eps=3.000, 883.17s
81: acc=40.63% acc_corr=40.87% avg#q_ae=32.42 med#q=58.0, avg_margin=0.73, buff=19882, n_ex=9941, eps=3.000, 883.86s
82: acc=40.36% acc_corr=40.60% avg#q_ae=32.66 med#q=58.0, avg_margin=0.71, buff=19882, n_ex=9941, eps=3.000, 884.55s
83: acc=40.10% acc_corr=40.34% avg#q_ae=32.89 med#q=58.0, avg_margin=0.70, buff=19882, n_ex=9941, eps=3.000, 885.23s
84: acc=39.96% acc_corr=40.20% avg#q_ae=33.01 med#q=58.0, avg_margin=0.70, buff=19882, n_ex=9941, eps=3.000, 885.91s
85: acc=39.69% acc_corr=39.93% avg#q_ae=33.26 med#q=58.0, avg_margin=0.69, buff=19882, n_ex=9941, eps=3.000, 886.59s
86: acc=39.44% acc_corr=39.67% avg#q_ae=33.48 med#q=58.0, avg_margin=0.68, buff=19882, n_ex=9941, eps=3.000, 887.27s
87: acc=39.20% acc_corr=39.43% avg#q_ae=33.71 med#q=58.0, avg_margin=0.66, buff=19882, n_ex=9941, eps=3.000, 887.94s
88: acc=38.80% acc_corr=39.03% avg#q_ae=34.08 med#q=58.0, avg_margin=0.65, buff=19882, n_ex=9941, eps=3.000, 888.62s
89: acc=38.51% acc_corr=38.74% avg#q_ae=34.35 med#q=58.0, avg_margin=0.64, buff=19882, n_ex=9941, eps=3.000, 889.28s
90: acc=38.10% acc_corr=38.33% avg#q_ae=34.73 med#q=58.0, avg_margin=0.62, buff=19882, n_ex=9941, eps=3.000, 889.95s
91: acc=37.70% acc_corr=37.92% avg#q_ae=35.11 med#q=58.0, avg_margin=0.60, buff=19882, n_ex=9941, eps=3.000, 890.60s
92: acc=37.42% acc_corr=37.64% avg#q_ae=35.38 med#q=58.0, avg_margin=0.60, buff=19882, n_ex=9941, eps=3.000, 891.25s
93: acc=37.13% acc_corr=37.35% avg#q_ae=35.66 med#q=58.0, avg_margin=0.58, buff=19882, n_ex=9941, eps=3.000, 891.90s
94: acc=36.94% acc_corr=37.16% avg#q_ae=35.84 med#q=58.0, avg_margin=0.57, buff=19882, n_ex=9941, eps=3.000, 892.54s
95: acc=36.65% acc_corr=36.87% avg#q_ae=36.12 med#q=58.0, avg_margin=0.56, buff=19882, n_ex=9941, eps=3.000, 893.18s
96: acc=36.46% acc_corr=36.68% avg#q_ae=36.31 med#q=58.0, avg_margin=0.55, buff=19882, n_ex=9941, eps=3.000, 893.81s
97: acc=36.26% acc_corr=36.48% avg#q_ae=36.51 med#q=58.0, avg_margin=0.55, buff=19882, n_ex=9941, eps=3.000, 894.45s
98: acc=36.07% acc_corr=36.28% avg#q_ae=36.70 med#q=58.0, avg_margin=0.54, buff=19882, n_ex=9941, eps=3.000, 895.07s
99: acc=35.90% acc_corr=36.11% avg#q_ae=36.87 med#q=58.0, avg_margin=0.53, buff=19882, n_ex=9941, eps=3.000, 895.69s
100: acc=35.44% acc_corr=35.65% avg#q_ae=37.34 med#q=58.0, avg_margin=0.51, buff=19882, n_ex=9941, eps=3.000, 896.32s
101: acc=35.33% acc_corr=35.54% avg#q_ae=37.45 med#q=58.0, avg_margin=0.51, buff=19882, n_ex=9941, eps=3.000, 896.93s
102: acc=35.17% acc_corr=35.38% avg#q_ae=37.62 med#q=58.0, avg_margin=0.50, buff=19882, n_ex=9941, eps=3.000, 897.55s
103: acc=34.96% acc_corr=35.17% avg#q_ae=37.84 med#q=58.0, avg_margin=0.49, buff=19882, n_ex=9941, eps=3.000, 898.16s
104: acc=34.83% acc_corr=35.04% avg#q_ae=37.97 med#q=58.0, avg_margin=0.48, buff=19882, n_ex=9941, eps=3.000, 898.77s
105: acc=34.47% acc_corr=34.67% avg#q_ae=38.36 med#q=58.0, avg_margin=0.48, buff=19882, n_ex=9941, eps=3.000, 899.38s
106: acc=34.31% acc_corr=34.51% avg#q_ae=38.53 med#q=58.0, avg_margin=0.47, buff=19882, n_ex=9941, eps=3.000, 899.98s
107: acc=33.96% acc_corr=34.16% avg#q_ae=38.90 med#q=58.0, avg_margin=0.46, buff=19882, n_ex=9941, eps=3.000, 900.58s
108: acc=33.51% acc_corr=33.71% avg#q_ae=39.39 med#q=58.0, avg_margin=0.44, buff=19882, n_ex=9941, eps=3.000, 901.18s
109: acc=33.27% acc_corr=33.47% avg#q_ae=39.65 med#q=58.0, avg_margin=0.43, buff=19882, n_ex=9941, eps=3.000, 901.78s
110: acc=33.06% acc_corr=33.26% avg#q_ae=39.88 med#q=58.0, avg_margin=0.42, buff=19882, n_ex=9941, eps=3.000, 903.59s
111: acc=32.59% acc_corr=32.78% avg#q_ae=40.39 med#q=58.0, avg_margin=0.41, buff=19882, n_ex=9941, eps=3.000, 904.18s
112: acc=32.48% acc_corr=32.67% avg#q_ae=40.51 med#q=58.0, avg_margin=0.40, buff=19882, n_ex=9941, eps=3.000, 904.76s
113: acc=32.29% acc_corr=32.48% avg#q_ae=40.72 med#q=58.0, avg_margin=0.39, buff=19882, n_ex=9941, eps=3.000, 905.33s
114: acc=32.05% acc_corr=32.24% avg#q_ae=40.99 med#q=58.0, avg_margin=0.39, buff=19882, n_ex=9941, eps=3.000, 905.90s
115: acc=31.62% acc_corr=31.81% avg#q_ae=41.47 med#q=58.0, avg_margin=0.37, buff=19882, n_ex=9941, eps=3.000, 906.47s
116: acc=31.21% acc_corr=31.40% avg#q_ae=41.93 med#q=58.0, avg_margin=0.36, buff=19882, n_ex=9941, eps=3.000, 907.04s
117: acc=30.99% acc_corr=31.17% avg#q_ae=42.18 med#q=58.0, avg_margin=0.35, buff=19882, n_ex=9941, eps=3.000, 907.60s
118: acc=30.59% acc_corr=30.77% avg#q_ae=42.63 med#q=58.0, avg_margin=0.34, buff=19882, n_ex=9941, eps=3.000, 908.15s
119: acc=30.40% acc_corr=30.58% avg#q_ae=42.85 med#q=58.0, avg_margin=0.33, buff=19882, n_ex=9941, eps=3.000, 908.70s
