2021-05-08_00-45-04_MIDA_IFTY1_easydlmnist_HRZ0_RND1__Eps76
1: acc=22.60% acc_corr=22.98% avg#q_ae=2.03 med#q=1.0, avg_margin=-0.36, buff=19670, n_ex=9835, eps=76.500, 253.48s
2: acc=18.92% acc_corr=19.24% avg#q_ae=2.12 med#q=1.0, avg_margin=-0.42, buff=19670, n_ex=9835, eps=76.500, 485.57s
3: acc=15.96% acc_corr=16.23% avg#q_ae=2.23 med#q=1.0, avg_margin=-0.45, buff=19670, n_ex=9835, eps=76.500, 679.21s
4: acc=9.90% acc_corr=10.07% avg#q_ae=2.48 med#q=1.0, avg_margin=-0.52, buff=19670, n_ex=9835, eps=76.500, 843.44s
5: acc=8.69% acc_corr=8.84% avg#q_ae=2.55 med#q=1.0, avg_margin=-0.53, buff=19670, n_ex=9835, eps=76.500, 945.73s
6: acc=7.31% acc_corr=7.43% avg#q_ae=2.63 med#q=1.0, avg_margin=-0.54, buff=19670, n_ex=9835, eps=76.500, 1035.41s
7: acc=6.01% acc_corr=6.11% avg#q_ae=2.72 med#q=1.0, avg_margin=-0.54, buff=19670, n_ex=9835, eps=76.500, 1111.56s
8: acc=4.48% acc_corr=4.56% avg#q_ae=2.84 med#q=1.0, avg_margin=-0.56, buff=19670, n_ex=9835, eps=76.500, 1173.24s
9: acc=3.04% acc_corr=3.09% avg#q_ae=2.96 med#q=1.0, avg_margin=-0.56, buff=19670, n_ex=9835, eps=76.500, 1219.62s
10: acc=2.72% acc_corr=2.77% avg#q_ae=2.99 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1251.05s
11: acc=2.22% acc_corr=2.26% avg#q_ae=3.04 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1279.30s
12: acc=1.77% acc_corr=1.80% avg#q_ae=3.09 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1303.12s
13: acc=1.40% acc_corr=1.42% avg#q_ae=3.14 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1322.73s
14: acc=1.08% acc_corr=1.10% avg#q_ae=3.18 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1336.77s
15: acc=1.01% acc_corr=1.03% avg#q_ae=3.19 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1348.46s
16: acc=0.91% acc_corr=0.93% avg#q_ae=3.21 med#q=1.0, avg_margin=-0.57, buff=19670, n_ex=9835, eps=76.500, 1360.01s
17: acc=0.80% acc_corr=0.81% avg#q_ae=3.22 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1369.04s
18: acc=0.69% acc_corr=0.70% avg#q_ae=3.24 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1379.38s
19: acc=0.64% acc_corr=0.65% avg#q_ae=3.25 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1386.47s
20: acc=0.55% acc_corr=0.56% avg#q_ae=3.27 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1393.82s
21: acc=0.45% acc_corr=0.46% avg#q_ae=3.29 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1399.23s
22: acc=0.38% acc_corr=0.39% avg#q_ae=3.30 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1403.96s
23: acc=0.32% acc_corr=0.33% avg#q_ae=3.32 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1408.00s
24: acc=0.25% acc_corr=0.25% avg#q_ae=3.33 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1411.59s
25: acc=0.19% acc_corr=0.19% avg#q_ae=3.35 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1414.62s
26: acc=0.13% acc_corr=0.13% avg#q_ae=3.36 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1417.08s
27: acc=0.10% acc_corr=0.10% avg#q_ae=3.37 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1418.56s
28: acc=0.06% acc_corr=0.06% avg#q_ae=3.38 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1419.58s
29: acc=0.06% acc_corr=0.06% avg#q_ae=3.38 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1420.48s
30: acc=0.04% acc_corr=0.04% avg#q_ae=3.39 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1421.16s
31: acc=0.04% acc_corr=0.04% avg#q_ae=3.39 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1421.66s
32: acc=0.00% acc_corr=0.00% avg#q_ae=3.40 med#q=1.0, avg_margin=-0.58, buff=19670, n_ex=9835, eps=76.500, 1422.25s
