2021-05-08_02-19-18_MIDA_IFTY0_easydlmnist_HRZ0_RND1__Eps3
1: acc=88.54% acc_corr=90.03% avg#q_ae=2.57 med#q=2.0, avg_margin=0.72, buff=19670, n_ex=9835, eps=3.000, 1096.38s
2: acc=84.07% acc_corr=85.48% avg#q_ae=3.02 med#q=3.0, avg_margin=0.64, buff=19670, n_ex=9835, eps=3.000, 2100.81s
3: acc=82.15% acc_corr=83.53% avg#q_ae=3.25 med#q=4.0, avg_margin=0.62, buff=19670, n_ex=9835, eps=3.000, 3218.93s
4: acc=80.02% acc_corr=81.36% avg#q_ae=3.57 med#q=5.0, avg_margin=0.58, buff=19670, n_ex=9835, eps=3.000, 4460.56s
5: acc=75.09% acc_corr=76.35% avg#q_ae=4.30 med#q=6.0, avg_margin=0.51, buff=19670, n_ex=9835, eps=3.000, 5399.04s
6: acc=71.62% acc_corr=72.82% avg#q_ae=4.78 med#q=7.0, avg_margin=0.46, buff=19670, n_ex=9835, eps=3.000, 6381.86s
7: acc=68.70% acc_corr=69.85% avg#q_ae=5.19 med#q=8.0, avg_margin=0.42, buff=19670, n_ex=9835, eps=3.000, 7214.19s
8: acc=64.44% acc_corr=65.52% avg#q_ae=5.80 med#q=9.0, avg_margin=0.36, buff=19670, n_ex=9835, eps=3.000, 8149.91s
9: acc=61.36% acc_corr=62.39% avg#q_ae=6.23 med#q=10.0, avg_margin=0.33, buff=19670, n_ex=9835, eps=3.000, 8912.46s
10: acc=59.98% acc_corr=60.99% avg#q_ae=6.44 med#q=11.0, avg_margin=0.31, buff=19670, n_ex=9835, eps=3.000, 9631.57s
11: acc=59.41% acc_corr=60.41% avg#q_ae=6.53 med#q=12.0, avg_margin=0.30, buff=19670, n_ex=9835, eps=3.000, 10459.87s
12: acc=57.20% acc_corr=58.16% avg#q_ae=6.94 med#q=13.0, avg_margin=0.28, buff=19670, n_ex=9835, eps=3.000, 11162.81s
13: acc=55.37% acc_corr=56.30% avg#q_ae=7.28 med#q=14.0, avg_margin=0.26, buff=19670, n_ex=9835, eps=3.000, 11967.27s
14: acc=54.14% acc_corr=55.05% avg#q_ae=7.52 med#q=15.0, avg_margin=0.24, buff=19670, n_ex=9835, eps=3.000, 12613.22s
15: acc=52.65% acc_corr=53.53% avg#q_ae=7.83 med#q=16.0, avg_margin=0.22, buff=19670, n_ex=9835, eps=3.000, 13353.07s
16: acc=51.51% acc_corr=52.37% avg#q_ae=8.08 med#q=17.0, avg_margin=0.21, buff=19670, n_ex=9835, eps=3.000, 14088.40s
17: acc=49.59% acc_corr=50.42% avg#q_ae=8.51 med#q=18.0, avg_margin=0.19, buff=19670, n_ex=9835, eps=3.000, 14696.95s
18: acc=48.53% acc_corr=49.34% avg#q_ae=8.75 med#q=19.0, avg_margin=0.17, buff=19670, n_ex=9835, eps=3.000, 15287.21s
19: acc=46.70% acc_corr=47.48% avg#q_ae=9.19 med#q=19.0, avg_margin=0.15, buff=19670, n_ex=9835, eps=3.000, 16124.13s
20: acc=44.48% acc_corr=45.23% avg#q_ae=9.71 med#q=19.0, avg_margin=0.13, buff=19670, n_ex=9835, eps=3.000, 16662.79s
21: acc=43.15% acc_corr=43.87% avg#q_ae=10.03 med#q=19.0, avg_margin=0.12, buff=19670, n_ex=9835, eps=3.000, 17186.70s
22: acc=41.77% acc_corr=42.47% avg#q_ae=10.38 med#q=19.0, avg_margin=0.10, buff=19670, n_ex=9835, eps=3.000, 17807.91s
23: acc=40.79% acc_corr=41.47% avg#q_ae=10.62 med#q=19.0, avg_margin=0.09, buff=19670, n_ex=9835, eps=3.000, 18279.70s
24: acc=39.87% acc_corr=40.54% avg#q_ae=10.87 med#q=19.0, avg_margin=0.08, buff=19670, n_ex=9835, eps=3.000, 18748.54s
25: acc=38.59% acc_corr=39.24% avg#q_ae=11.21 med#q=19.0, avg_margin=0.07, buff=19670, n_ex=9835, eps=3.000, 19320.70s
26: acc=37.69% acc_corr=38.32% avg#q_ae=11.46 med#q=19.0, avg_margin=0.06, buff=19670, n_ex=9835, eps=3.000, 19761.78s
27: acc=36.07% acc_corr=36.68% avg#q_ae=11.92 med#q=19.0, avg_margin=0.04, buff=19670, n_ex=9835, eps=3.000, 20305.05s
28: acc=35.06% acc_corr=35.65% avg#q_ae=12.21 med#q=19.0, avg_margin=0.03, buff=19670, n_ex=9835, eps=3.000, 20705.42s
29: acc=34.22% acc_corr=34.79% avg#q_ae=12.45 med#q=19.0, avg_margin=0.03, buff=19670, n_ex=9835, eps=3.000, 21252.05s
30: acc=33.11% acc_corr=33.67% avg#q_ae=12.78 med#q=19.0, avg_margin=0.02, buff=19670, n_ex=9835, eps=3.000, 21648.70s
31: acc=32.17% acc_corr=32.71% avg#q_ae=13.07 med#q=19.0, avg_margin=0.01, buff=19670, n_ex=9835, eps=3.000, 22164.72s
32: acc=31.59% acc_corr=32.12% avg#q_ae=13.25 med#q=19.0, avg_margin=0.00, buff=19670, n_ex=9835, eps=3.000, 22520.04s
33: acc=30.54% acc_corr=31.05% avg#q_ae=13.59 med#q=19.0, avg_margin=-0.01, buff=19670, n_ex=9835, eps=3.000, 22878.84s
34: acc=29.48% acc_corr=29.97% avg#q_ae=13.94 med#q=19.0, avg_margin=-0.02, buff=19670, n_ex=9835, eps=3.000, 23221.94s
35: acc=29.12% acc_corr=29.61% avg#q_ae=14.06 med#q=19.0, avg_margin=-0.02, buff=19670, n_ex=9835, eps=3.000, 23686.29s
36: acc=27.58% acc_corr=28.04% avg#q_ae=14.58 med#q=19.0, avg_margin=-0.04, buff=19670, n_ex=9835, eps=3.000, 24146.66s
37: acc=27.09% acc_corr=27.54% avg#q_ae=14.74 med#q=19.0, avg_margin=-0.04, buff=19670, n_ex=9835, eps=3.000, 24581.88s
38: acc=26.04% acc_corr=26.48% avg#q_ae=15.11 med#q=19.0, avg_margin=-0.05, buff=19670, n_ex=9835, eps=3.000, 24886.89s
39: acc=25.18% acc_corr=25.60% avg#q_ae=15.42 med#q=19.0, avg_margin=-0.06, buff=19670, n_ex=9835, eps=3.000, 25177.53s
40: acc=24.36% acc_corr=24.77% avg#q_ae=15.71 med#q=19.0, avg_margin=-0.07, buff=19670, n_ex=9835, eps=3.000, 25474.47s
41: acc=23.96% acc_corr=24.36% avg#q_ae=15.86 med#q=19.0, avg_margin=-0.07, buff=19670, n_ex=9835, eps=3.000, 25880.24s
42: acc=23.47% acc_corr=23.86% avg#q_ae=16.04 med#q=19.0, avg_margin=-0.08, buff=19670, n_ex=9835, eps=3.000, 26394.17s
43: acc=23.02% acc_corr=23.41% avg#q_ae=16.21 med#q=19.0, avg_margin=-0.08, buff=19670, n_ex=9835, eps=3.000, 26670.38s
44: acc=22.18% acc_corr=22.55% avg#q_ae=16.54 med#q=19.0, avg_margin=-0.09, buff=19670, n_ex=9835, eps=3.000, 26923.65s
45: acc=21.67% acc_corr=22.03% avg#q_ae=16.74 med#q=19.0, avg_margin=-0.09, buff=19670, n_ex=9835, eps=3.000, 27173.06s
46: acc=21.11% acc_corr=21.46% avg#q_ae=16.97 med#q=19.0, avg_margin=-0.10, buff=19670, n_ex=9835, eps=3.000, 27411.02s
47: acc=20.79% acc_corr=21.14% avg#q_ae=17.10 med#q=19.0, avg_margin=-0.10, buff=19670, n_ex=9835, eps=3.000, 27638.16s
48: acc=20.06% acc_corr=20.40% avg#q_ae=17.41 med#q=19.0, avg_margin=-0.11, buff=19670, n_ex=9835, eps=3.000, 28130.87s
49: acc=19.28% acc_corr=19.60% avg#q_ae=17.74 med#q=19.0, avg_margin=-0.12, buff=19670, n_ex=9835, eps=3.000, 28358.66s
50: acc=18.53% acc_corr=18.84% avg#q_ae=18.06 med#q=19.0, avg_margin=-0.12, buff=19670, n_ex=9835, eps=3.000, 28569.52s
51: acc=18.20% acc_corr=18.51% avg#q_ae=18.21 med#q=19.0, avg_margin=-0.13, buff=19670, n_ex=9835, eps=3.000, 28777.31s
52: acc=17.28% acc_corr=17.57% avg#q_ae=18.61 med#q=19.0, avg_margin=-0.13, buff=19670, n_ex=9835, eps=3.000, 28978.45s
53: acc=16.75% acc_corr=17.03% avg#q_ae=18.85 med#q=19.0, avg_margin=-0.14, buff=19670, n_ex=9835, eps=3.000, 29305.74s
54: acc=16.14% acc_corr=16.41% avg#q_ae=19.13 med#q=19.0, avg_margin=-0.14, buff=19670, n_ex=9835, eps=3.000, 29497.20s
55: acc=15.64% acc_corr=15.90% avg#q_ae=19.35 med#q=19.0, avg_margin=-0.15, buff=19670, n_ex=9835, eps=3.000, 29810.23s
